Player,MP,FG,FGA,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,Pos,height in inches,weight,3Pper min,FTper min,TRBper min,ASTper min,STLper min,BLKper min,TOVper min,PTSper min,3P per min,FT per min,TRB per min,AST per min,STL per min,BLK per min,TOV per min,PTS per min,FG%,3P%,FT%
Bill Robinzine,6600.0,1277.0,2669.0,3.0,14.0,697.0,911.0,1736.0,347.0,293.0,46.0,605.0,3254.0,PF,79,230.0,0.00045454545454545455,0.1056060606060606,0.263030303030303,0.052575757575757574,0.044393939393939395,0.0069696969696969695,0.09166666666666666,0.49303030303030304,0.00045454545454545455,0.1056060606060606,0.263030303030303,0.052575757575757574,0.044393939393939395,0.0069696969696969695,0.09166666666666666,0.49303030303030304,0.4784563506931435,0.21428571428571427,0.7650933040614709
Bill Walton,6217.0,1079.0,2011.0,0.0,4.0,479.0,745.0,2101.0,667.0,176.0,501.0,659.0,2637.0,C,83,210.0,0.0,0.07704680714170822,0.33794434614765967,0.10728647257519704,0.0283094740228406,0.0805854913945633,0.10599967830143156,0.4241595624899469,0.0,0.07704680714170822,0.33794434614765967,0.10728647257519704,0.0283094740228406,0.0805854913945633,0.10599967830143156,0.4241595624899469,0.5365489806066633,0.0,0.6429530201342282
Bill Wennington,9740.0,1379.0,3006.0,5.0,36.0,538.0,684.0,2148.0,440.0,226.0,248.0,440.0,3301.0,C,84,245.0,0.000513347022587269,0.055236139630390146,0.22053388090349077,0.045174537987679675,0.023203285420944558,0.02546201232032854,0.045174537987679675,0.338911704312115,0.000513347022587269,0.055236139630390146,0.22053388090349077,0.045174537987679675,0.023203285420944558,0.02546201232032854,0.045174537987679675,0.338911704312115,0.4587491683300067,0.1388888888888889,0.7865497076023392
Bill Willoughby,7295.0,1027.0,2114.0,16.0,51.0,342.0,441.0,1415.0,395.0,154.0,210.0,395.0,2412.0,SF,80,205.0,0.0021932830705962986,0.04688142563399589,0.19396847155586017,0.05414667580534613,0.021110349554489375,0.02878684030157642,0.05414667580534613,0.33063742289239206,0.0021932830705962986,0.04688142563399589,0.19396847155586017,0.05414667580534613,0.021110349554489375,0.02878684030157642,0.05414667580534613,0.33063742289239206,0.4858088930936613,0.3137254901960784,0.7755102040816326
Billy Donovan,364.0,44.0,109.0,0.0,7.0,17.0,21.0,25.0,87.0,16.0,1.0,42.0,105.0,PG,71,171.0,0.0,0.046703296703296704,0.06868131868131869,0.23901098901098902,0.04395604395604396,0.0027472527472527475,0.11538461538461539,0.28846153846153844,0.0,0.046703296703296704,0.06868131868131869,0.23901098901098902,0.04395604395604396,0.0027472527472527475,0.11538461538461539,0.28846153846153844,0.4036697247706422,0.0,0.8095238095238095
Billy Knight,11845.0,2491.0,4932.0,45.0,149.0,1500.0,1791.0,1843.0,942.0,381.0,53.0,934.0,6527.0,SF,78,195.0,0.003799071338117349,0.1266357112705783,0.15559307724778387,0.07952722667792317,0.03216547066272689,0.0044744617982271,0.07885183621781343,0.551034191642043,0.003799071338117349,0.1266357112705783,0.15559307724778387,0.07952722667792317,0.03216547066272689,0.0044744617982271,0.07885183621781343,0.551034191642043,0.5050689375506894,0.30201342281879195,0.8375209380234506
Billy McKinney,10113.0,1641.0,3322.0,5.0,60.0,745.0,894.0,776.0,1768.0,394.0,48.0,671.0,4032.0,PG,72,160.0,0.0004944131316127757,0.07366755661030357,0.07673291802630278,0.17482448333827746,0.03895975477108672,0.004746366063482646,0.0663502422624345,0.3986947493325423,0.0004944131316127757,0.07366755661030357,0.07673291802630278,0.17482448333827746,0.03895975477108672,0.004746366063482646,0.0663502422624345,0.3986947493325423,0.49397953040337145,0.08333333333333333,0.8333333333333334
Billy Owens,20906.0,3346.0,7000.0,98.0,334.0,1418.0,2257.0,4728.0,2005.0,651.0,380.0,1559.0,8208.0,SF,80,220.0,0.004687649478618578,0.06782741796613412,0.22615517076437386,0.09590548167990051,0.031139385822251984,0.018176600019133262,0.07457189323639146,0.39261456041327847,0.004687649478618578,0.06782741796613412,0.22615517076437386,0.09590548167990051,0.031139385822251984,0.018176600019133262,0.07457189323639146,0.39261456041327847,0.478,0.2934131736526946,0.6282676118741692
Billy Paultz,9348.0,1275.0,2718.0,0.0,5.0,416.0,761.0,2352.0,678.0,229.0,316.0,510.0,2966.0,C,83,235.0,0.0,0.044501497646555414,0.251604621309371,0.07252888318356868,0.02449721865639709,0.03380402225074882,0.05455712451861361,0.31728712023962347,0.0,0.044501497646555414,0.251604621309371,0.07252888318356868,0.02449721865639709,0.03380402225074882,0.05455712451861361,0.31728712023962347,0.46909492273730685,0.0,0.5466491458607096
Billy Reid,597.0,84.0,185.0,0.0,5.0,22.0,39.0,60.0,71.0,33.0,5.0,78.0,190.0,SG,77,190.0,0.0,0.03685092127303183,0.10050251256281408,0.11892797319932999,0.05527638190954774,0.008375209380234505,0.1306532663316583,0.31825795644891125,0.0,0.03685092127303183,0.10050251256281408,0.11892797319932999,0.05527638190954774,0.008375209380234505,0.1306532663316583,0.31825795644891125,0.4540540540540541,0.0,0.5641025641025641
Billy Thomas,571.0,55.0,168.0,35.0,118.0,13.0,15.0,54.0,26.0,26.0,2.0,23.0,158.0,SF,76,208.0,0.06129597197898424,0.02276707530647986,0.09457092819614711,0.04553415061295972,0.04553415061295972,0.0035026269702276708,0.040280210157618214,0.276707530647986,0.06129597197898424,0.02276707530647986,0.09457092819614711,0.04553415061295972,0.04553415061295972,0.0035026269702276708,0.040280210157618214,0.276707530647986,0.3273809523809524,0.2966101694915254,0.8666666666666667
Billy Thompson,6697.0,1074.0,2128.0,2.0,13.0,416.0,617.0,1615.0,514.0,158.0,272.0,529.0,2566.0,SF,79,195.0,0.00029864118261908315,0.0621173659847693,0.24115275496490965,0.07675078393310437,0.02359265342690757,0.04061520083619531,0.0789905928027475,0.3831566373002837,0.00029864118261908315,0.0621173659847693,0.24115275496490965,0.07675078393310437,0.02359265342690757,0.04061520083619531,0.0789905928027475,0.3831566373002837,0.5046992481203008,0.15384615384615385,0.6742301458670988
Bimbo Coles,23625.0,2923.0,6936.0,347.0,1229.0,1481.0,1829.0,2139.0,3807.0,846.0,155.0,1466.0,7674.0,PG,73,180.0,0.014687830687830687,0.06268783068783068,0.09053968253968254,0.16114285714285714,0.03580952380952381,0.0065608465608465606,0.062052910052910054,0.32482539682539685,0.014687830687830687,0.06268783068783068,0.09053968253968254,0.16114285714285714,0.03580952380952381,0.0065608465608465606,0.062052910052910054,0.32482539682539685,0.4214244521337947,0.2823433685923515,0.8097320940404593
Bingo Smith,4246.0,770.0,1782.0,46.0,162.0,200.0,230.0,518.0,200.0,124.0,34.0,162.0,1786.0,SG,77,195.0,0.010833725859632595,0.047103155911446065,0.12199717381064532,0.047103155911446065,0.02920395666509656,0.00800753650494583,0.038153556288271315,0.42063118228921337,0.010833725859632595,0.047103155911446065,0.12199717381064532,0.047103155911446065,0.02920395666509656,0.00800753650494583,0.038153556288271315,0.42063118228921337,0.43209876543209874,0.2839506172839506,0.8695652173913043
Bismack Biyombo,9557.0,809.0,1581.0,0.0,1.0,558.0,1009.0,2945.0,189.0,117.0,667.0,411.0,2176.0,C,81,255.0,0.0,0.05838652296745841,0.3081510934393638,0.01977608035994559,0.012242335460918699,0.06979177566181856,0.043005127131945174,0.22768651250392383,0.0,0.05838652296745841,0.3081510934393638,0.01977608035994559,0.012242335460918699,0.06979177566181856,0.043005127131945174,0.22768651250392383,0.5117014547754586,0.0,0.5530227948463825
Bison Dele,10004.0,1847.0,3499.0,2.0,14.0,840.0,1215.0,2564.0,440.0,320.0,355.0,822.0,4536.0,C,81,235.0,0.00019992003198720512,0.08396641343462614,0.256297481007597,0.043982407037185124,0.03198720511795282,0.03548580567772891,0.0821671331467413,0.4534186325469812,0.00019992003198720512,0.08396641343462614,0.256297481007597,0.043982407037185124,0.03198720511795282,0.03548580567772891,0.0821671331467413,0.4534186325469812,0.5278651043155187,0.14285714285714285,0.691358024691358
Blair Rasmussen,11409.0,2248.0,4767.0,9.0,35.0,614.0,801.0,3006.0,467.0,210.0,484.0,460.0,5119.0,C,84,250.0,0.0007888509071785432,0.053817161889736176,0.26347620299763347,0.040932597072486636,0.018406521167499343,0.042422648786046104,0.040319046366903324,0.4486808659829959,0.0007888509071785432,0.053817161889736176,0.26347620299763347,0.040932597072486636,0.018406521167499343,0.042422648786046104,0.040319046366903324,0.4486808659829959,0.47157541430669186,0.2571428571428571,0.766541822721598
Blake Ahearn,226.0,21.0,77.0,14.0,47.0,32.0,33.0,22.0,22.0,7.0,0.0,22.0,88.0,PG,74,190.0,0.061946902654867256,0.1415929203539823,0.09734513274336283,0.09734513274336283,0.030973451327433628,0.0,0.09734513274336283,0.3893805309734513,0.061946902654867256,0.1415929203539823,0.09734513274336283,0.09734513274336283,0.030973451327433628,0.0,0.09734513274336283,0.3893805309734513,0.2727272727272727,0.2978723404255319,0.9696969696969697
Blake Griffin,16567.0,3906.0,7547.0,80.0,268.0,2225.0,3305.0,4423.0,1954.0,455.0,269.0,1159.0,10117.0,PF,82,251.0,0.004828876682561719,0.1343031327337478,0.26697651958713103,0.11794531297156999,0.027464236132069778,0.01623709784511378,0.06995835093861291,0.6106718174684614,0.004828876682561719,0.1343031327337478,0.26697651958713103,0.11794531297156999,0.027464236132069778,0.01623709784511378,0.06995835093861291,0.6106718174684614,0.517556645024513,0.29850746268656714,0.6732223903177005
Blue Edwards,19521.0,3202.0,6755.0,326.0,983.0,1314.0,1680.0,2506.0,1486.0,771.0,313.0,1268.0,8044.0,SF,76,200.0,0.016699964141181294,0.06731212540341171,0.1283745709748476,0.07612314942882024,0.03949592746273244,0.016034014650888787,0.06495568874545361,0.41206905383945497,0.016699964141181294,0.06731212540341171,0.1283745709748476,0.07612314942882024,0.03949592746273244,0.016034014650888787,0.06495568874545361,0.41206905383945497,0.47401924500370096,0.3316378433367243,0.7821428571428571
Bo Ellis,502.0,61.0,136.0,0.0,3.0,40.0,53.0,116.0,30.0,10.0,24.0,24.0,162.0,PF,81,197.0,0.0,0.0796812749003984,0.23107569721115537,0.05976095617529881,0.0199203187250996,0.04780876494023904,0.04780876494023904,0.32270916334661354,0.0,0.0796812749003984,0.23107569721115537,0.05976095617529881,0.0199203187250996,0.04780876494023904,0.04780876494023904,0.32270916334661354,0.4485294117647059,0.0,0.7547169811320755
Bo Kimble,1336.0,217.0,562.0,25.0,86.0,115.0,158.0,162.0,98.0,41.0,14.0,98.0,574.0,SG,76,190.0,0.0187125748502994,0.08607784431137724,0.12125748502994012,0.07335329341317365,0.030688622754491017,0.010479041916167664,0.07335329341317365,0.4296407185628742,0.0187125748502994,0.08607784431137724,0.12125748502994012,0.07335329341317365,0.030688622754491017,0.010479041916167664,0.07335329341317365,0.4296407185628742,0.3861209964412811,0.29069767441860467,0.7278481012658228
Bo Outlaw,22668.0,2171.0,3833.0,4.0,40.0,1000.0,1939.0,4801.0,1568.0,925.0,1285.0,1152.0,5346.0,PF,80,210.0,0.0001764602082230457,0.044115052055761425,0.2117963649197106,0.06917240162343391,0.04080642315157932,0.056687841891653434,0.05082053996823716,0.2358390682901006,0.0001764602082230457,0.044115052055761425,0.2117963649197106,0.06917240162343391,0.04080642315157932,0.056687841891653434,0.05082053996823716,0.2358390682901006,0.5663970780067832,0.1,0.5157297576070139
Bob Carrington,134.0,15.0,37.0,0.0,2.0,6.0,8.0,13.0,3.0,4.0,1.0,5.0,36.0,SG,78,195.0,0.0,0.04477611940298507,0.09701492537313433,0.022388059701492536,0.029850746268656716,0.007462686567164179,0.03731343283582089,0.26865671641791045,0.0,0.04477611940298507,0.09701492537313433,0.022388059701492536,0.029850746268656716,0.007462686567164179,0.03731343283582089,0.26865671641791045,0.40540540540540543,0.0,0.75
